LANDIS_test,LANDIS_traits,LandR,KNN,CASFRI,Latin_full,EN_generic_short,EN_generic_full,Leading,Notes,Boreal,Broadleaf,Type,PSP,ApproxFBP,FuelClass,BC_Forestry,AB_forestry,MB_forestry,NFI,QCPSP,CanfiCode,CanfiNote,NTEMS_Species_Code,CBM_speciesID,SCANFI,colorHex
,,Alnu_inc,Alnu_Inc_Rug,Alnu inca,Alnus incana var rugosa,Spe ald,Speckled alder,Speckled alder leading,,,TRUE,Deciduous,gray alder,,CedrMplOther,Dm,,,ALNU_INC,AUR,1805,,7,,,#FE8F42
alnurubr,ALNU.RUB,Alnu_rub,Alnu_Rub,Alnu rubr,Alnus rubra,Rd ald,Red alder,Red alder leading,,,TRUE,Deciduous,red alder,,CedrMplOther,Dr,,,ALNU_RUB,,1802,,8,105,ALNU_RUB,#FE8F42
,,Alnu_spp,Alnu_Spp,Alnu spp,Alnus spp.,Alder,Alder,Alder leading,,Alnu_Spp,TRUE,Deciduous,alder,,CedrMplOther,D,,,ALNU_SP,,1800,,,103,,
,,Alnu_vir,,Alnu viri,Alnus viridis,Gn ald,Green alder,Green alder leading,Renamed as Alnus alnobetula,,TRUE,Deciduous,sitka alder,,CedrMplOther,Dg,,,ALNU_VIR,AUC,1803,,,104,,
,,Amel_spp,,,Amelanchier spp.,Sdbsh,Shadbush,Shadbush leading,"a.k.a. sugarplu, serviceberry, saskatoon",,TRUE,Deciduous,shadbush,,CedrMplOther,,,,AMEL_SPP,AME,1500,other hardwood code,,,,
,,Arbu_men,Arbu_Men,Arbu menz,Arbutus menziesii,Arbut,Arbutus,Arbutus leading,,,TRUE,Deciduous,arbutus,,CedrMplOther,Ra,,,ARBU_MEN,,3300,,,142,,
,,Asim_tri,Asim_Tri,Asim tril,Asimina triloba,Pawpaw,American pawpaw,American pawpaw leading,,,TRUE,Deciduous,,,CedrMplOther,,,,ASIM_TRI,,3990,,,,,
,BETU.ALL,Betu_all,Betu_All,Betu alle,Betula alleghaniensis,Yl bir,Yellow birch,Yellow birch leading,also known as swamp birch,Betu_All,TRUE,Deciduous,yellow birch,,PopBrch,,,,BETU_ALL,BOJ,1301,,9,74,BETU_ALL,#783FC1
,,Betu_len,,Betu lent,Betula lenta,Bl bir,Black birch,Black birch leading,,,TRUE,Deciduous,,,PopBrch,,,,BETU_LEN,,1300,generic birch code,,75,,
,,Betu_man,,Betu mand,Betula mandschurica var japonica,Mnch bir,Manchurian birch,Manchurian birch leading,,,TRUE,Deciduous,,,PopBrch,,,,BETU_MAN,,1300,generic birch code,,,,
,,Betu_neo,,Betu neoa,Betula neoalaskana,Ak pa bir,Alaska paper birch,Alaska paper birch leading,,,TRUE,Deciduous,,,PopBrch,Ea,,,BETU_NEO,,1305,,,78,,
,,Betu_occ,,Betu occi,Betula occidentalis,Wa bit,Water birch,Water birch leading,,,TRUE,Deciduous,,,PopBrch,Ew,,,BETU_OCC,,1314,,,,,
betupapy,BETU.PAP,Betu_pap,Betu_Pap,Betu papy,Betula papyrifera,Pa birch,Paper birch,Paper birch leading,,Betu_Pap,TRUE,Deciduous,white birch,,PopBrch,Ep,Bw,WB,BETU_PAP,BOP,1303,,10,76,BETU_PAP,#DD00FF
,,Betu_pen,,Betu pend,Betula pendula,Slv bir,Silver birch,Silver birch leading,,,TRUE,Deciduous,,,PopBrch,,,,BETU_PEN,,1300,generic birch code,,,,
,,Betu_pop,Betu_Pop,Betu popu,Betula populifolia,Gr bir,Gray birch,Gray birch leading,,Betu_Pop,TRUE,Deciduous,grey birch,,PopBrch,,,,BETU_POP,BOG,1304,,,77,,
,,Betu_pub,,Betu pube,Betula pubescens,Eur whi bir,European white birch,European white birch leading,,,TRUE,Deciduous,,,PopBrch,,,,BETU_PUB,,1300,generic birch code,,,,
,,Betu_spp,Betu_Spp,Betu spp,Betula spp.,Birch,Birch,Birch leading,,Betu_Spp,TRUE,Deciduous,birch,,PopBrch,,,,BETU_SP,,1300,generic birch code,,73,,
,,Betu_win,,Betu winx,Betula x winteri,Ak x Pa bir,Alaska x paper birch,Alaska x paper birch leading,,,TRUE,Deciduous,,,PopBrch,Exp,,,BETU_WIN,,1300,generic birch code,,173,,
,,Calc_dec,,Calc decu,Calocedrus decurrens,Cal Inc ced,California incense cedar,California incense cedar leading,,,FALSE,Conifer,,,CedrMplOther,,,,CALC_DEC,,1100,other softwood code,,,,
,,Carp_car,Carp_Car,Carp caro,Carpinus caroliniana,Am hornb,American hornbeam,American hornbeam leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CARP_CAR,CAR,1950,,,107,,
,,Cary_cor,Cary_Cor,Cary cord,Carya cordiformis,Bit hick,Bitternut hickory,Bitternut hickory leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CARY_COR,CAC,1601,,,96,,
,,Cary_gla,,Cary glab,Carya glabra,Pig hick,Pignut hickory,Pignut hickory leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CARY_GLA,,1601,bitternut hickory code,,97,,
,,Cary_lac,,Cary laci,Carya laciniosa,Shel hick,Shellbark hickory,Shellbark hickory leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CARY_LAC,,1601,bitternut hickory code,,99,,
,,Cary_ova,,Cary ovat,Carya ovata,Shag hick,Shagbark hickory,Shagbark hickory leading,,,TRUE,Deciduous,hickory,,CedrMplOther,,,,CARY_OVA,CAF,1601,bitternut hickory code,,98,,
,,Cary_spp,,Cary spp,Carya spp.,Hickory,Hickory,Hickory leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CARY_SP,,1601,bitternut hickory code,,95,,
,,Cary_tom,,Cary tome,Carya tomentosa,Mock hick,Mockernut hickory,Mockernut hickory leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CARY_TOM,,1601,bitternut hickory code,,,,
,,Cast_den,Cast_Den,Cast dent,Castanea dentata,Am chest,American chestnut,American chestnut leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CAST_DEN,,3980,,,,,
,,Cata_spp,,Cata spec,Catalpa speciosa,Nor cat,Northern catalpa,Northern catalpa leading,,,TRUE,Deciduous,,,CedrMplOther,,,,CATA_SPE,,1500,other hardwood code,,,,
