"filename","key","url","id","type"
"SCANFI_spsCC_ACER_RUB_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_ACER_RUB_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_ACER_RUB_1985_v2_20260119.tif.aux.xml","1PJCZOghhC0d2p7xbQ7C8ZMaajCV5Oepu","file"
"SCANFI_spsCC_ACER_RUB_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_ACER_RUB_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_ACER_RUB_1985_v2_20260119.tif.ovr","1xrAWNzNGCyCN6NLrMfnhW5J4HGVSsTCA","file"
"SCANFI_spsCC_ACER_SAH_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_ACER_SAH_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_ACER_SAH_1985_v2_20260119.tif","18Z2Y2XfC801kKXoKJJXdWG8ZxOQWH0sp","file"
"SCANFI_spsCC_ACER_SAH_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_ACER_SAH_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_ACER_SAH_1985_v2_20260119.tif.aux.xml","1AnPiH_iiQVppPXz4sxMSV0DlSWmzDkZE","file"
"SCANFI_spsCC_ACER_SAH_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_ACER_SAH_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_ACER_SAH_1985_v2_20260119.tif.ovr","1Xh-GgcOAnhuKsU_WdKZYpbRTO4ljAXe9","file"
"SCANFI_spsCC_ALNU_RUB_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_ALNU_RUB_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_ALNU_RUB_1985_v2_20260119.tif","1_Qh-yOENwhT6vmcVwzPYsLvrqor_BOkD","file"
"SCANFI_spsCC_ALNU_RUB_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_ALNU_RUB_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_ALNU_RUB_1985_v2_20260119.tif.aux.xml","1nHk84XVMhdD8gfIlhiiOxGRH-UlMOzrr","file"
"SCANFI_spsCC_ALNU_RUB_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_ALNU_RUB_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_ALNU_RUB_1985_v2_20260119.tif.ovr","1shhpl_hZKbT2fukm72zEWhb_2b0cuwko","file"
"SCANFI_spsCC_BETU_ALL_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_BETU_ALL_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_BETU_ALL_1985_v2_20260119.tif","1gVfdPrknhTa46tl02vYeYR5IJ1Ro4_nb","file"
"SCANFI_spsCC_BETU_ALL_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_BETU_ALL_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_BETU_ALL_1985_v2_20260119.tif.aux.xml","1omjT_D-6QMA7e1n8m8CE3r88X9j4e6_i","file"
"SCANFI_spsCC_BETU_ALL_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_BETU_ALL_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_BETU_ALL_1985_v2_20260119.tif.ovr","1QSmbs1UQv2sSZ9kXLPCkdwL-uPrhwfas","file"
"SCANFI_spsCC_BETU_PAP_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_BETU_PAP_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_BETU_PAP_1985_v2_20260119.tif","1DZ_MfGgItX4rPm6gQ10ux6rd7SKItU2E","file"
"SCANFI_spsCC_BETU_PAP_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_BETU_PAP_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_BETU_PAP_1985_v2_20260119.tif.aux.xml","13pU4tyoHoSQoZq9HQ8ljjV_9JFu47o9o","file"
"SCANFI_spsCC_BETU_PAP_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_BETU_PAP_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_BETU_PAP_1985_v2_20260119.tif.ovr","1T67iGZdCn-qsU7qnQFF2Kf4Nmhyfyoe1","file"
"SCANFI_spsCC_CHAM_NOO_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_CHAM_NOO_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_CHAM_NOO_1985_v2_20260119.tif","1EjempFkNT2_DwGXskB-IxCtHEh-vSgA0","file"
"SCANFI_spsCC_CHAM_NOO_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_CHAM_NOO_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_CHAM_NOO_1985_v2_20260119.tif.aux.xml","1yp98OK_zAdjr1BNxGO3nahTMiEITywpK","file"
"SCANFI_spsCC_CHAM_NOO_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_CHAM_NOO_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_CHAM_NOO_1985_v2_20260119.tif.ovr","1L109gnnAS-ao8E2HDwVWt2ICi2NQr2Tu","file"
"SCANFI_spsCC_FAGU_GRA_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_FAGU_GRA_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_FAGU_GRA_1985_v2_20260119.tif","1EKEzcz0Z_-DeNvtyEGx5ZcwtyjFnT-zn","file"
"SCANFI_spsCC_FAGU_GRA_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_FAGU_GRA_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_FAGU_GRA_1985_v2_20260119.tif.aux.xml","1ZNfDboJfJ3looMjLJKjPZZu9sL0KOBkY","file"
"SCANFI_spsCC_FAGU_GRA_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_FAGU_GRA_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_FAGU_GRA_1985_v2_20260119.tif.ovr","1Rvm7joZK8F6DMTs944Xr9p3pEBWCixjJ","file"
"SCANFI_spsCC_FRAX_AME_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_FRAX_AME_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_FRAX_AME_1985_v2_20260119.tif","1ERoYdZ19mQv-8bzbJ4Xy78ww_TDmnpP9","file"
"SCANFI_spsCC_FRAX_AME_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_FRAX_AME_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_FRAX_AME_1985_v2_20260119.tif.aux.xml","1Wz9xg-HnBjqHJbwv98c9kb5DkY-v6mQX","file"
"SCANFI_spsCC_FRAX_AME_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_FRAX_AME_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_FRAX_AME_1985_v2_20260119.tif.ovr","1G7bc_7JQQ8kxeacDDZ_D3DGQCmN5mzHM","file"
"SCANFI_spsCC_LARI_LAR_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_LARI_LAR_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_LARI_LAR_1985_v2_20260119.tif","1PqPTNYGTtb0afi8lPFMMHwH4ar-Ztd-N","file"
"SCANFI_spsCC_LARI_LAR_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_LARI_LAR_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_LARI_LAR_1985_v2_20260119.tif.aux.xml","12itInRzBFU4pmmgmajR1Yj7YW5BFlrcL","file"
"SCANFI_spsCC_LARI_LAR_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_LARI_LAR_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_LARI_LAR_1985_v2_20260119.tif.ovr","1u6tCiCEbu4SQD4PI0_ylGV84zsTBs2Bj","file"
"SCANFI_spsCC_LARI_OCC_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_LARI_OCC_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_LARI_OCC_1985_v2_20260119.tif","1-VnMa0cgkH_TqBfMOHfaFy30iK2oWK9H","file"
"SCANFI_spsCC_LARI_OCC_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_LARI_OCC_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_LARI_OCC_1985_v2_20260119.tif.aux.xml","1F2RYdeZ11sAbUdAWwPLnhMTqsf0dI2of","file"
"SCANFI_spsCC_LARI_OCC_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_LARI_OCC_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_LARI_OCC_1985_v2_20260119.tif.ovr","1fE4X8My6U-2sOgS_5nbRwPr6Uu5ITUIr","file"
"SCANFI_spsCC_PICE_ENG_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_1985_v2_20260119.tif","1QPu5t5TWciRRL4TZZTZA5uhVXD5C_Uye","file"
"SCANFI_spsCC_PICE_ENG_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_1985_v2_20260119.tif.aux.xml","1GlG8sUsoNxaspm27nGoO1Hp9NLXOxb2R","file"
"SCANFI_spsCC_PICE_ENG_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_1985_v2_20260119.tif.ovr","1TpixgGsJZWapni5XvUMey9zRoXFgho9p","file"
"SCANFI_spsCC_PICE_ENG_GLA_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_GLA_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_GLA_1985_v2_20260119.tif","1Ne_hVmzCUG-GA0LTRHee8j_L1k8lmmoA","file"
"SCANFI_spsCC_PICE_ENG_GLA_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_GLA_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_GLA_1985_v2_20260119.tif.aux.xml","1yk3MtRwlYbdByfjm8jnelJKjMvYXBxwz","file"
"SCANFI_spsCC_PICE_ENG_GLA_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_GLA_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_ENG_GLA_1985_v2_20260119.tif.ovr","1BdMZ3bPRuLzyE4t3uxw89mgwojaXNIOq","file"
"SCANFI_spsCC_PICE_GLA_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_PICE_GLA_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_GLA_1985_v2_20260119.tif","1qD0USn8oXW-3IOsnLwYBxfv4y1k-l_vO","file"
"SCANFI_spsCC_PICE_GLA_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_PICE_GLA_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_GLA_1985_v2_20260119.tif.aux.xml","1DP2-y784Pwf-f0FU0vpEM2KkwzzxnLL9","file"
"SCANFI_spsCC_PICE_GLA_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_PICE_GLA_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_GLA_1985_v2_20260119.tif.ovr","19n_-FhM6TPSeN4WWJ0hYi2MXW5F1-Z1M","file"
"SCANFI_spsCC_PICE_MAR_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_PICE_MAR_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_MAR_1985_v2_20260119.tif","11LdJz6cVV0gtcf7noG8wfX2j3ffBV2cR","file"
"SCANFI_spsCC_PICE_MAR_1985_v2_20260119.tif.aux.xml","SCANFI_v2/1985/SCANFI_spsCC_PICE_MAR_1985_v2_20260119.tif.aux.xml","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_MAR_1985_v2_20260119.tif.aux.xml","1ezZxI1qAK6EgK9KxSxfnS_loe8GQvcXB","file"
"SCANFI_spsCC_PICE_MAR_1985_v2_20260119.tif.ovr","SCANFI_v2/1985/SCANFI_spsCC_PICE_MAR_1985_v2_20260119.tif.ovr","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_MAR_1985_v2_20260119.tif.ovr","1enAvUFGNUJJD2yXFpBzzpLqgq7sy4zU4","file"
"SCANFI_spsCC_PICE_RUB_1985_v2_20260119.tif","SCANFI_v2/1985/SCANFI_spsCC_PICE_RUB_1985_v2_20260119.tif","https://object-arbutus.cloud.computecanada.ca/predictiveecology/SCANFI_v2/1985/SCANFI_spsCC_PICE_RUB_1985_v2_20260119.tif","1sH9-catFi08fMFR2GTLdmShWsW6nNTET","file"
